model,seed,fold,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_standard,42,3,im0163,31163,271983,6671,1588,0.9957449664581287,0.9734782678505484,0.9515129309028731,0.9760599165990799,0.8236771158217476,0.8829921371396189,0.7904976916442595,12614,863,573,104,96,4,4,0.9467032967032967,1.0,977,0.9611054247697032,5,160,1.0
unet_standard,42,4,im0003,22018,282067,5353,3327,0.9898207004145794,0.9722475340910908,0.8687315052278556,0.981375687147728,0.8044280442804428,0.8353441080506867,0.7172454231546029,9483,2652,791,83,65,5,13,0.8060288774144195,1.0,702,0.8062678062678063,3,67,0.7611940298507462
unet_standard,42,4,im0004,22781,270337,4478,8609,0.9815547057730754,0.9572606587090348,0.7257406817457789,0.9837054018157669,0.8357239810704722,0.7768589404763935,0.635134381621501,8935,3184,2129,45,31,5,9,0.7291283764967975,1.0,412,0.7694174757281553,1,23,1.0
unet_standard,42,4,im0139,30203,268265,7625,3854,0.9871093511122223,0.9629646358893618,0.8868367736441848,0.9723621733299503,0.7984297345881358,0.8403143910412464,0.7246053452329543,13841,2587,428,98,72,12,14,0.7806416797488226,1.0,804,0.7873134328358209,3,70,1.0
unet_standard,42,4,im0235,33610,266460,5026,4090,0.9917021237140062,0.970516129449587,0.8915119363395225,0.9814870748399549,0.8699140697794803,0.8805805910710542,0.7866404531198802,12635,2211,196,91,81,3,7,0.9047619047619049,1.0,777,0.915057915057915,4,100,1.0
unet_standard,43,0,im0236,33495,267072,3550,4862,0.9934706555038555,0.9727748487761304,0.8732434757671351,0.9868820716719262,0.9041706033202861,0.8884379724675738,0.7992698117259647,13589,3042,277,98,80,3,15,0.8268707482993197,1.0,831,0.8435619735258725,2,47,1.0
unet_standard,43,0,im0255,29758,269444,2194,8145,0.9914408697811837,0.9665989319670092,0.7851093580983035,0.9919230740912538,0.931334501752629,0.8519934149309284,0.742150285557523,19437,5994,119,132,106,8,18,0.8224261033084563,1.0,1133,0.824360105913504,4,92,0.7065217391304348
unet_standard,43,0,im0291,17070,286339,1836,4348,0.9898295391325994,0.9800253881709212,0.7969931833037632,0.9936288713455366,0.9028879720723579,0.8466421981946235,0.7340672572460651,7222,2255,24,46,31,3,12,0.7072981366459627,1.0,412,0.6480582524271845,2,47,0.0
unet_standard,43,0,im0324,23149,275979,6782,5112,0.9826018063833298,0.961758332208011,0.8191146810091646,0.9760150798731084,0.7734121813504393,0.795607643662359,0.6605884199412151,7363,2045,997,42,38,2,2,0.915873015873016,1.0,313,0.9233226837060703,0,0,
unet_standard,43,1,im0044,26213,308719,6163,3283,0.992832081493852,0.9725708378583998,0.8886967724437211,0.9804275887475308,0.8096429453916482,0.8473299715541763,0.735101937799714,10327,1894,1290,87,79,3,5,0.9161345762525437,1.0,647,0.9041731066460588,1,20,1.0
unet_standard,43,1,im0081,28967,272383,6111,2646,0.993889436828689,0.9717613597887181,0.9163002562237055,0.978056977888213,0.8257882433434062,0.8686929270816152,0.7678666101155763,12852,1254,422,69,63,2,4,0.9167426776122428,1.0,603,0.9237147595356551,3,70,1.0
unet_standard,43,1,im0162,27700,273545,6365,2480,0.9935518499165417,0.9714760230900706,0.9178263750828363,0.9772605480332964,0.813151328342874,0.8623239162580746,0.7579696264878917,17745,1852,269,174,155,10,9,0.9202603670276086,1.0,1430,0.9216783216783216,5,141,0.900709219858156
unet_standard,43,1,im0240,34895,262315,4563,8348,0.9843998242312654,0.9583678628664296,0.8069514141017043,0.9829022999273076,0.8843580515991687,0.8438833871416307,0.7299292975777099,10414,3302,720,50,35,4,11,0.7398888888888889,1.0,369,0.7642276422764228,0,0,
unet_standard,43,2,im0002,22019,277799,3247,6185,0.9838522573112469,0.9695004042037186,0.7807048645582187,0.9884467311400981,0.8714873743370537,0.8236020198242004,0.7001049251216177,13057,4536,89,99,67,6,26,0.7053478459275561,1.0,889,0.7255343082114736,4,92,0.7608695652173914
unet_standard,43,2,im0082,30814,271350,6021,2496,0.9941982615926371,0.972586028756184,0.9250675472830981,0.9782926117005744,0.8365413329713588,0.8785800841114834,0.7834532557016094,13893,1712,320,106,92,6,8,0.8985260284788587,1.0,843,0.8932384341637011,1,20,0.9
unet_standard,43,2,im0239,30988,270581,4082,5583,0.9905071435124401,0.9689461948244729,0.847338054742829,0.985138151116095,0.8836042201311662,0.86509121871554,0.762256168056478,15247,3990,543,117,94,8,15,0.8287190966678146,1.0,969,0.7884416924664602,4,88,0.5113636363636364
unet_standard,43,2,im0319,15056,287591,4095,3189,0.9905661747777904,0.9764979947149527,0.8252123869553303,0.9859609305897438,0.7861730457939533,0.8052198096053054,0.6739480752014324,9439,1903,568,60,55,2,3,0.9252380952380952,1.0,582,0.9347079037800687,4,117,1.0
unet_standard,43,3,im0001,28012,273636,3826,5787,0.990377943992362,0.9691159509222164,0.8287819166247522,0.9862107243514427,0.8798291349959169,0.85354297119003,0.7445049833887043,13119,3260,332,85,66,4,15,0.7880392156862746,1.0,658,0.7750759878419453,3,67,1.0
unet_standard,43,3,im0005,27060,270224,3540,11197,0.9820670549657484,0.9527692046368674,0.7073215359280655,0.9870691544542014,0.884313725490196,0.7859767343915651,0.6474148862358543,12603,5078,1795,54,39,5,10,0.7724106140772808,1.0,446,0.804932735426009,0,0,
unet_standard,43,3,im0077,31082,270302,5770,2858,0.9935406925990783,0.9721688192715121,0.9157925751325869,0.9790996551624214,0.8434277651145121,0.8781218216747655,0.7827247544699069,12666,1274,577,90,87,3,0,0.9761279461279461,1.0,806,0.967741935483871,6,150,0.9066666666666666
unet_standard,43,3,im0163,30904,272524,6130,1847,0.9957308343395888,0.9743838409787897,0.9436047754267045,0.9780013924077888,0.8344764270670195,0.8856917675718278,0.7948355237776806,12614,971,631,104,92,11,1,0.9328983516483517,1.0,977,0.9365404298874105,5,160,1.0
unet_standard,43,4,im0003,22873,279947,7473,2472,0.9900225849253442,0.9682029638866242,0.9024659696192543,0.9739997216616798,0.7537401964015027,0.821425364960227,0.6969650801389481,9483,1966,1170,83,68,3,12,0.8354919678714859,1.0,702,0.8290598290598291,3,67,0.8507462686567164
unet_standard,43,4,im0004,23937,269134,5681,7453,0.9804574352451659,0.9571071667673617,0.7625676967187002,0.9793279115041028,0.8081909649537443,0.7847167584579071,0.6457068867848184,8935,2769,2438,45,31,5,9,0.736931216931217,1.0,412,0.7669902912621359,1,23,1.0
unet_standard,43,4,im0139,31326,264887,11003,2731,0.9878575278551429,0.9556891984758684,0.9198109052470858,0.9601181630359926,0.740060006142361,0.8202026549367685,0.6952063914780293,13841,1898,1247,98,79,6,13,0.8313568376068375,1.0,804,0.8271144278606966,3,70,1.0
unet_standard,43,4,im0235,34163,264401,7085,3537,0.9907611688424086,0.965645275012452,0.9061803713527852,0.9739028900201115,0.8282340961986036,0.8654557430207225,0.7628223735625768,12635,1734,476,91,82,4,5,0.9201680672268907,1.0,777,0.9253539253539254,4,100,1.0
unet_dpd_v3,41,0,im0236,33496,267296,3326,4861,0.9932030845859399,0.9735030536055849,0.8732695466277342,0.9877097944734722,0.9096735647167454,0.8910999082190505,0.803588993114699,13589,2909,212,98,83,2,13,0.8534742468415938,1.0,831,0.8628158844765343,2,47,1.0
unet_dpd_v3,41,0,im0255,29495,269749,1889,8408,0.9920030273630077,0.966734616738978,0.7781705933567263,0.9930458919591515,0.9398100943155748,0.8513862629353269,0.7412293928427824,19437,6222,71,132,98,7,27,0.7685704150276342,1.0,1133,0.7669902912621359,4,92,0.4782608695652174
unet_dpd_v3,41,0,im0291,17331,285767,2408,4087,0.9906239112200473,0.9790208434945235,0.8091791950695677,0.9916439663398976,0.8780080044581793,0.8421896639696771,0.7273986401410224,7222,2155,56,46,32,2,12,0.7205644072373751,1.0,412,0.6747572815533981,2,47,0.10638297872340426
unet_dpd_v3,41,0,im0324,23941,275039,7722,4320,0.9844865160918703,0.961282481625094,0.8471391670499983,0.9726907176024983,0.7561191295834254,0.7990454575796009,0.6653419670399912,7363,1766,792,42,37,3,2,0.9156746031746033,1.0,313,0.9201277955271565,0,0,
unet_dpd_v3,41,1,im0044,25181,309780,5102,4315,0.9919374978189573,0.9726550476511275,0.853708977488473,0.98379710494725,0.8315226364627019,0.8424697636293682,0.727816636799815,10327,2273,1462,87,77,3,7,0.899772943330112,1.0,647,0.8995363214837713,1,20,1.0
unet_dpd_v3,41,1,im0081,28666,273200,5294,2947,0.9940973810688915,0.9734253015894514,0.9067788567994179,0.9809906138013745,0.844110718492344,0.8743232732984613,0.7767090253881378,12852,1414,436,69,62,3,4,0.9224326398239442,1.0,603,0.9369817578772802,3,70,1.0
unet_dpd_v3,41,1,im0162,26945,274639,5271,3235,0.9933873950750856,0.9725692540875229,0.8928098078197482,0.9811689471615876,0.8363856468835361,0.8636771587922303,0.76006318580576,17745,2423,233,174,147,12,15,0.8755698085439465,1.0,1430,0.8839160839160839,5,141,0.900709219858156
