model,seed,fold,subject,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_standard,43,1,Subject_06,Image_06L,56533,581435,5643,15322,0.9764605926539063,0.9681834116670436,0.7867650128731473,0.9903879893302082,0.9092415079773546,0.8435809626131268,0.7294768897261865,9426,5110,124,112,36,12,64,0.37549056387249014,0.0,1540,0.44935064935064933,24,696,0.5589080459770115
unet_standard,43,1,Subject_06,Image_06R,59788,581973,9212,11663,0.9866043552940681,0.9684970330618922,0.8367692544541014,0.9844177372565271,0.8664927536231884,0.8513716527472215,0.7412072449574154,12688,5575,612,144,77,23,44,0.6026592678209776,0.9089068825910931,1992,0.5717871485943775,35,1026,0.5779727095516569
unet_standard,43,1,Subject_13,Image_13L,48931,588151,13306,9974,0.9840889894287189,0.9647466086782704,0.8306765130294542,0.97787705521758,0.7862043478959462,0.8078288289775635,0.6776114442397972,12009,5472,712,90,43,11,36,0.520723992861674,0.6442687747035574,951,0.5141955835962145,9,251,0.545816733067729
unet_standard,43,1,Subject_13,Image_13R,47901,586081,13460,12719,0.9794718926106262,0.9603445220181137,0.7901847575057737,0.9775494920280682,0.7806424276005932,0.7853846090784631,0.6466117710583154,13686,6774,931,109,41,21,47,0.4755980128590379,0.46153846153846156,1455,0.45910652920962197,22,593,0.3760539629005059
unet_standard,43,2,Subject_02,Image_02L,61417,579102,7958,16238,0.985622576503953,0.9635994373528505,0.7908956280986414,0.9864443157428542,0.8852900900900901,0.8354349452492689,0.7173793699554974,11658,4995,223,198,82,19,97,0.46501895943690896,0.27884615384615385,2882,0.49410131852879946,42,1321,0.5367146101438305
unet_standard,43,2,Subject_02,Image_02R,58725,576868,9316,15720,0.9832839248388388,0.9621027838620466,0.7888373967358453,0.9841073792529308,0.8630825531664732,0.8242915093412686,0.701101944819188,14513,5898,321,178,78,22,78,0.5014153332212173,0.5916666666666667,2507,0.4846429996011169,37,1157,0.41745894554883317
unet_standard,43,2,Subject_03,Image_03L,62647,580714,8555,12448,0.9892523111535726,0.968386306301967,0.8342366335974433,0.985482012459505,0.8798488806494199,0.8564358804350055,0.7489181111775254,12974,4436,297,167,80,16,71,0.5287100945494703,0.6818181818181818,2675,0.5532710280373832,36,1355,0.6081180811808118
unet_standard,43,2,Subject_03,Image_03R,60345,581204,9538,11870,0.9899798867679253,0.967708312907172,0.8356297168178356,0.9838542036963683,0.8635147317659516,0.8493434108854453,0.7381380499798172,12049,3493,491,139,90,17,32,0.7137927378133232,1.0,2418,0.739867659222498,36,1350,0.7666666666666667
unet_standard,43,2,Subject_08,Image_08L,51583,545417,12865,10108,0.9857441946847526,0.9629451605150547,0.8361511403608306,0.9769560902912865,0.8003817030784508,0.8178755182774559,0.6918691989913622,9871,3752,215,126,64,16,46,0.5701334446902934,0.8,1522,0.5847568988173456,21,551,0.5607985480943739
unet_standard,43,2,Subject_08,Image_08R,51355,547221,15412,9544,0.9831851082201334,0.9599763925508233,0.8432814988751868,0.9726073657250819,0.7691674030583971,0.8045211724343208,0.6729698208646198,9426,3350,2845,128,70,19,39,0.6146705812358274,0.9421428571428572,1811,0.6438431805632248,30,922,0.7245119305856833
unet_standard,43,3,Subject_07,Image_07L,63969,577958,12833,10536,0.9882896268649514,0.9648742815228109,0.8585866720354338,0.9782782743812956,0.8329079971875732,0.8455524199144785,0.7324303281504042,12780,4905,1361,145,69,25,51,0.5710432313140698,0.7368421052631579,2121,0.5421970768505422,31,1070,0.5373831775700935
unet_standard,43,3,Subject_07,Image_07R,62508,581867,11753,10294,0.987378786356131,0.9669173586706321,0.8586027856377572,0.9802011387756477,0.8417338845423573,0.8500846575957243,0.7392584708178109,10450,3851,1353,146,56,31,59,0.49042021162201727,0.47213930348258704,2057,0.5017015070491007,29,899,0.5105672969966629
unet_standard,43,3,Subject_10,Image_10L,53024,585782,17551,7034,0.9868514011899129,0.9629404076932006,0.8828798827799793,0.9709099286795186,0.7513142047467234,0.8118009997473838,0.6832197296705279,14442,5266,1150,142,71,16,55,0.5442951051119878,0.788888888888889,1928,0.608402489626556,26,800,0.72625
