observer,architecture,seed,image_id,AUC,accuracy,sensitivity,specificity,precision,F1,IoU,thin_FN,far_FP,recovered,partial,missed,length_weighted_coverage,long_branch_coverage
OBSERVER_1,DPD-2,41,19,0.990036886646506,0.961202877900329,0.9344465962655754,0.9648636893126221,0.7844237906812674,0.8528882070437567,0.7435092309928769,1659,521,106,12,8,0.8868292682926829,1.0
OBSERVER_1,DPD-2,41,20,0.9865218472783552,0.955529770616597,0.8993158588855918,0.9622402944027079,0.739795226471386,0.8117931547619047,0.6832086164250603,2191,751,129,3,5,0.944578313253012,0.9209302325581395
OBSERVER_1,DPD-2,42,01,0.98561199932425,0.9488494810074116,0.9165646674826602,0.9537198984433103,0.7492287596231344,0.8244919180952089,0.7013919604527123,2016,201,148,7,13,0.8934010152284264,0.8628318584070797
OBSERVER_1,DPD-2,42,02,0.9866403931711089,0.9551595605254857,0.8940189188387747,0.9659340314792751,0.822215555797971,0.8566151922831043,0.7491923860643109,2314,336,112,8,25,0.8103975535168195,1.0
OBSERVER_1,DPD-2,42,03,0.976934873046654,0.9493724720569537,0.7794806300553427,0.9783448540507464,0.8599127809459913,0.8177236187316576,0.6916518266688252,4297,137,84,13,42,0.6543307086614173,0.8451882845188284
OBSERVER_1,DPD-2,42,04,0.9735526022949663,0.9568409812942432,0.8363049138186732,0.97538456858351,0.8394032615527108,0.8378512232971241,0.7209500539803398,3646,75,114,12,62,0.61193148257531,0.5038167938931297
OBSERVER_1,DPD-2,42,05,0.9722986506050547,0.953718383964373,0.7893067512460353,0.9795320003048857,0.8582488738738738,0.8223353677040833,0.6982763557235298,5151,42,95,13,59,0.6145404663923183,0.8203592814371258
OBSERVER_1,DPD-2,42,06,0.972091002557311,0.9512129723647137,0.7695063074287494,0.9810690195195348,0.8697718631178707,0.816572741245104,0.6900067031616579,5501,121,89,22,75,0.5455100794135614,0.642570281124498
OBSERVER_1,DPD-2,42,07,0.9762813168950202,0.9546283078950258,0.7895435244161358,0.9798208888731389,0.8565464622471748,0.82168133954773,0.6973337239964841,4823,176,90,20,55,0.5902061855670103,0.5148148148148148
OBSERVER_1,DPD-2,42,08,0.9759958337725531,0.954392491831226,0.7686411642117905,0.9810954772338362,0.8539083346413436,0.8090342968677386,0.6793094836735968,4749,84,85,16,43,0.6388081395348837,0.6652360515021459
OBSERVER_1,DPD-2,42,09,0.9761451326329699,0.9588728806114382,0.8057965594614809,0.9792454708341628,0.8378504491192597,0.8215109518272109,0.6970883209317373,3939,79,98,19,53,0.6441593517893315,1.0
OBSERVER_1,DPD-2,42,10,0.9771486343272198,0.9553736385550649,0.8326826753093695,0.9720151863323009,0.801424976073163,0.8167548723876957,0.6902668376381511,3654,115,129,26,60,0.6509231429798197,0.6471698113207547
OBSERVER_1,DPD-2,42,11,0.9758982736578908,0.94909443668958,0.8523008160362984,0.9635113803137971,0.7767388755168796,0.812767400184052,0.6845898607484769,3551,295,159,22,58,0.7306382978723405,0.8222748815165877
OBSERVER_1,DPD-2,42,12,0.9848396303520227,0.9587794644230135,0.8691470691470692,0.971604349245411,0.8141109942135718,0.8407292975248701,0.7252225866916588,2764,181,132,14,26,0.7907590759075908,0.6766467065868264
OBSERVER_1,DPD-2,42,13,0.9786020038965966,0.9520703296703297,0.828723800074414,0.972445300335983,0.8324405132677214,0.8305779987569919,0.7102465986394558,4115,147,109,23,47,0.687990343995172,0.643979057591623
OBSERVER_1,DPD-2,42,14,0.9845192041095804,0.9573175591311202,0.8825429011302617,0.9673130110479212,0.7830418124271198,0.8298202873989338,0.7091391847448933,2205,445,133,16,13,0.8659254414650098,0.9342723004694836
